Date,Close/Last,Volume,Open,High,Low
2023-09-27,22.724,64.671,23-Oct,23-Dec,22.64
2023-09-28,22.741,65.852,22.80,22.955,22.61
2023-09-29,22.45,109.554,22.84,23.805,22.325
2023-10-10,21.953,42.606,22-Mar,22-Nov,21.775
2023-10-11,22.281,58.708,22.705,22.80,22.23
2023-10-13,22.895,74.419,21.985,22.99,21.96
2023-10-16,22.765,35.125,22.91,22.91,22.635
2023-10-17,23.024,47.657,22.78,23.18,22.535
2023-10-18,23.099,65.24,22.975,23.49,22.84
2023-10-19,23.031,57.408,23.015,23.23,22.785
2023-10-20,23.53,78.838,23.19,23.88,23.015
2023-10-23,23.21,50.916,23.235,23.30,23.065
2023-10-24,23.116,46.43,23.095,23.16,22.90
2023-10-25,23.007,52.904,23-Jun,23.16,22.69
2023-10-26,22.908,58.346,23.005,23.275,22.565
2023-10-27,22.887,45.217,22.935,23.255,22.775
2023-10-30,23.396,57.268,23.245,23.75,23.175
2023-10-31,22.952,53.422,23.455,23.465,22.84
2023-11-09,23.383,41.244,23.195,23.40,23.345
2023-11-10,22.133,43.371,22.015,22.275,21.955
2023-11-12,23.058,54.773,23.30,23.40,23.015
2023-11-13,22.358,59.134,22.31,22.405,21.925
2023-11-14,23.132,75.657,22.37,23.255,22.15
2023-11-15,23.538,70.517,23.16,23.71,23.095
2023-11-16,23.933,81.399,23.51,23.83,23.80
2023-11-17,23.775,52.717,23.825,23.805,23.76
2023-11-20,23.959,15.706,24-Nov,24.21,23.65
2023-11-21,24.221,22.761,23.825,24.43,23.82
2023-11-22,24.033,23.588,24.145,24.355,23.935
2023-11-24,24.692,30.813,24-Feb,24.75,23.96
2023-11-27,25.038,53.321,24.75,25.29,24.68
2023-11-28,25.302,62.437,25.065,25.445,24.94
2023-11-29,25.443,65.823,25.43,25.68,25.245
2023-11-30,25.66,49.428,25.41,25.70,25.325
2023-12-09,23.402,40.133,23.39,23.48,23-Nov
2023-12-10,21.959,49.432,22.205,22.39,21.88
2023-12-12,23.016,54.186,23.125,23.45,22.975
2023-12-13,22.921,77.775,23.075,24.125,22.785
2023-12-14,24.386,93.478,24.095,24.525,24-Jun
2023-12-15,24.154,55.983,24.475,24.59,24-May
2023-12-18,24.107,41.128,24.125,24.355,23.955
2023-12-19,24.321,36.943,24-Aug,24.475,24-Apr
2023-12-20,24.631,45.871,24.36,24.75,24.245
2023-12-21,24.585,45.075,24.46,24.79,24.43
2023-12-22,24.565,47.671,24.705,24.895,24.37
2023-12-26,24.396,27.003,24.495,24.70,24.34
2023-12-27,24.641,42.321,24.505,24.73,24.22
2023-12-28,24.372,35.081,24.55,24.74,24.185
2023-12-29,24.086,45.455,24.225,24.235,23.76
2024-01-16,23.093,60.349,23.35,23.50,23.015
2024-01-17,22.669,50.602,23.095,23-Nov,22.66
2024-01-18,22.807,45.111,22.715,22.90,22.52
2024-01-19,22.711,40.328,22.885,22.98,22.595
2024-01-22,22.296,72.128,22.745,22.78,22-Apr
2024-02-01,23.953,45.478,24.045,24.335,23.875
2024-03-01,23.157,82.186,23.885,23.95,23.045
2024-04-01,23.187,50.503,23.19,23.26,22.88
2024-05-01,23.315,60.321,23.205,23.715,22.97
2024-08-01,23.31,45.241,23.38,23.41,23-Feb
2024-09-01,23.091,41.534,23.315,23.565,23-Aug
2024-10-01,23.066,41.065,23.16,23.29,22.935
2024-11-01,22.705,78.484,23.085,23.40,22.63
2024-12-01,23.329,70.306,22.92,23.72,22.915
