Date,Close/Last,Volume,Open,High,Low
2023-12-19,"2,052.10",130.031,"2,041.10","2,061.00","2,034.80"
2023-12-20,"2,047.70",119.394,"2,053.80","2,056.90","2,040.60"
2023-12-21,"2,051.30",115.184,"2,044.40","2,058.00","2,043.30"
2023-12-22,"2,069.10",162.292,"2,061.20","2,083.00","2,058.20"
2023-12-26,"2,069.80",76.492,"2,066.00","2,080.50","2,065.10"
2023-12-27,"2,093.10",124.021,"2,079.30","2,095.80","2,072.80"
2023-12-28,"2,083.50",126.411,"2,089.50","2,098.20","2,074.60"
2023-12-29,"2,071.80",102.741,"2,076.10","2,084.10","2,067.60"
2024-01-16,"2,030.20",277.995,"2,053.40","2,062.80","2,027.60"
2024-01-17,"2,006.50",245.194,"2,031.70","2,036.10","2,004.60"
2024-01-18,"2,021.60",167.013,"2,009.10","2,025.60","2,007.70"
2024-01-19,"2,029.30",166.078,"2,027.40","2,041.90","2,022.20"
2024-01-22,"2,022.20",141.963,"2,031.80","2,034.10","2,017.40"
2024-02-01,"2,073.40",149.926,"2,072.70","2,088.10","2,064.30"
2024-03-01,"2,042.80",214.132,"2,067.90","2,074.30","2,038.30"
2024-04-01,"2,050.00",125.573,"2,049.30","2,058.10","2,043.30"
2024-05-01,"2,049.80",208.861,"2,051.40","2,071.10","2,030.80"
2024-08-01,"2,033.50",199.325,"2,052.60","2,053.30","2,022.70"
2024-09-01,"2,033.00",194.61,"2,034.50","2,048.60","2,031.90"
2024-10-01,"2,027.80",183.625,"2,036.00","2,046.20","2,025.90"
2024-11-01,"2,019.20",270.624,"2,029.40","2,056.10","2,017.30"
2024-12-01,"2,051.60",250.946,"2,033.20","2,067.30","2,033.10"
